date,model,measure,value
01-Jan-1947,uc_2m,mcse,0.0885319962730912
01-Apr-1947,uc_2m,mcse,0.0857643061947543
01-Jul-1947,uc_2m,mcse,0.0829431329754599
01-Oct-1947,uc_2m,mcse,0.0802662210382428
01-Jan-1948,uc_2m,mcse,0.0777169641647893
01-Apr-1948,uc_2m,mcse,0.0753175612390074
01-Jul-1948,uc_2m,mcse,0.0729754710675971
01-Oct-1948,uc_2m,mcse,0.0705981066500689
01-Jan-1949,uc_2m,mcse,0.0679310863494439
01-Apr-1949,uc_2m,mcse,0.0652022078912901
01-Jul-1949,uc_2m,mcse,0.062590689516916
01-Oct-1949,uc_2m,mcse,0.0600873274614214
01-Jan-1950,uc_2m,mcse,0.0578963200961801
01-Apr-1950,uc_2m,mcse,0.0558525426491418
01-Jul-1950,uc_2m,mcse,0.0537740322162972
01-Oct-1950,uc_2m,mcse,0.0517772678116413
01-Jan-1951,uc_2m,mcse,0.0498784624952725
01-Apr-1951,uc_2m,mcse,0.0480397941261827
01-Jul-1951,uc_2m,mcse,0.0462735449897045
01-Oct-1951,uc_2m,mcse,0.044722204781548
01-Jan-1952,uc_2m,mcse,0.0432984831281805
01-Apr-1952,uc_2m,mcse,0.0420265927747245
01-Jul-1952,uc_2m,mcse,0.0408815225871456
01-Oct-1952,uc_2m,mcse,0.0399652351694239
01-Jan-1953,uc_2m,mcse,0.0394242328853356
01-Apr-1953,uc_2m,mcse,0.0392756572962573
01-Jul-1953,uc_2m,mcse,0.0391670929663632
01-Oct-1953,uc_2m,mcse,0.0386939606517986
01-Jan-1954,uc_2m,mcse,0.0380049706464267
01-Apr-1954,uc_2m,mcse,0.037195040892716
01-Jul-1954,uc_2m,mcse,0.0365031928375182
01-Oct-1954,uc_2m,mcse,0.0361129000662698
01-Jan-1955,uc_2m,mcse,0.0363225456325144
01-Apr-1955,uc_2m,mcse,0.0368674064574629
01-Jul-1955,uc_2m,mcse,0.0377885293678991
01-Oct-1955,uc_2m,mcse,0.0388457060482767
01-Jan-1956,uc_2m,mcse,0.0395853133894602
01-Apr-1956,uc_2m,mcse,0.040575572410803
01-Jul-1956,uc_2m,mcse,0.0412124465722924
01-Oct-1956,uc_2m,mcse,0.0424814645057074
01-Jan-1957,uc_2m,mcse,0.043729882130003
01-Apr-1957,uc_2m,mcse,0.044551432796832
01-Jul-1957,uc_2m,mcse,0.0456396086798359
01-Oct-1957,uc_2m,mcse,0.0456854796262288
01-Jan-1958,uc_2m,mcse,0.0438769157297424
01-Apr-1958,uc_2m,mcse,0.0420876931416502
01-Jul-1958,uc_2m,mcse,0.0409119928810977
01-Oct-1958,uc_2m,mcse,0.040227205563709
01-Jan-1959,uc_2m,mcse,0.0398618064947202
01-Apr-1959,uc_2m,mcse,0.0400096329272504
01-Jul-1959,uc_2m,mcse,0.039691742379747
01-Oct-1959,uc_2m,mcse,0.0391258151832079
01-Jan-1960,uc_2m,mcse,0.0391680262514326
01-Apr-1960,uc_2m,mcse,0.0384662918684144
01-Jul-1960,uc_2m,mcse,0.0375783996457399
01-Oct-1960,uc_2m,mcse,0.0357167904616808
01-Jan-1961,uc_2m,mcse,0.0338284096692893
01-Apr-1961,uc_2m,mcse,0.0321678210060644
01-Jul-1961,uc_2m,mcse,0.0307234699617487
01-Oct-1961,uc_2m,mcse,0.0294274063728884
01-Jan-1962,uc_2m,mcse,0.0282611078502111
01-Apr-1962,uc_2m,mcse,0.0271017542243322
01-Jul-1962,uc_2m,mcse,0.0260151262420522
01-Oct-1962,uc_2m,mcse,0.0250459465939309
01-Jan-1963,uc_2m,mcse,0.0243087764957891
01-Apr-1963,uc_2m,mcse,0.0238754233231533
01-Jul-1963,uc_2m,mcse,0.023506424794765
01-Oct-1963,uc_2m,mcse,0.0236086511825999
01-Jan-1964,uc_2m,mcse,0.0236957311212769
01-Apr-1964,uc_2m,mcse,0.0241572659110757
01-Jul-1964,uc_2m,mcse,0.0246711186496518
01-Oct-1964,uc_2m,mcse,0.0258991192566014
01-Jan-1965,uc_2m,mcse,0.0267484863377275
01-Apr-1965,uc_2m,mcse,0.0278522766229295
01-Jul-1965,uc_2m,mcse,0.0285941255739409
