date,ucsv_sw07,ar_trend_bound,biuc_lrexp
01-Apr-1947,3.38137812390395,NaN,NaN
01-Jul-1947,5.84521080600601,1.78615533652285,NaN
01-Oct-1947,7.12234951652267,1.79304683874527,NaN
01-Jan-1948,4.36667287047292,1.78598706807291,NaN
01-Apr-1948,3.86338535274707,1.77572467543238,NaN
01-Jul-1948,4.23268400650071,1.77538161880697,NaN
01-Oct-1948,0.143377573469594,1.7601245635718,NaN
01-Jan-1949,-1.33981931492084,1.75823107623287,NaN
01-Apr-1949,-1.17567385833909,1.75482888249231,NaN
01-Jul-1949,-0.971242395904383,1.75645892903453,NaN
01-Oct-1949,0.137451480607059,1.76242413822991,NaN
01-Jan-1950,0.454772775329064,1.76709420149784,NaN
01-Apr-1950,2.32588828740327,1.77167991188798,NaN
01-Jul-1950,5.89985658428816,1.78299562470506,NaN
01-Oct-1950,5.96340880975513,1.78161207506702,NaN
01-Jan-1951,8.09334697625774,1.78445170875189,NaN
01-Apr-1951,3.5741930396596,1.76785544872793,NaN
01-Jul-1951,1.94051359398231,1.75844997460518,NaN
01-Oct-1951,3.57735659643504,1.76037167623826,NaN
01-Jan-1952,1.93578448826403,1.74337601804415,NaN
01-Apr-1952,1.01569745671181,1.73087729125082,NaN
01-Jul-1952,1.87286004456557,1.7308447544368,NaN
01-Oct-1952,1.19053714447037,1.72226649309594,NaN
01-Jan-1953,1.36655707029314,1.71591507523129,NaN
01-Apr-1953,1.11689769574414,1.7045866384478,NaN
01-Jul-1953,1.64128336034814,1.70522186108533,NaN
01-Oct-1953,1.4966499652007,1.70204686860956,NaN
01-Jan-1954,1.27111831830608,1.7004165049458,NaN
01-Apr-1954,0.143450389904485,1.68007462865725,NaN
01-Jul-1954,-0.276614571965371,1.6773871717666,NaN
01-Oct-1954,0.124915863044474,1.68873758092653,NaN
01-Jan-1955,0.824794935459745,1.71140873653925,NaN
01-Apr-1955,0.845758842101109,1.71459076620086,NaN
01-Jul-1955,1.30414148217758,1.73457620969613,NaN
01-Oct-1955,1.43717425917431,1.74837755828666,NaN
01-Jan-1956,1.85556770202579,1.77133605437928,NaN
01-Apr-1956,2.43949114719802,1.80082782593538,NaN
01-Jul-1956,2.89289642998152,1.82738901775723,NaN
01-Oct-1956,2.69431079844827,1.82123182083801,NaN
01-Jan-1957,2.88391460622797,1.84275814070861,NaN
01-Apr-1957,2.69880027093607,1.83233853721771,NaN
01-Jul-1957,2.71052782729087,1.83213132334061,NaN
01-Oct-1957,2.48409814854247,1.82330371674704,NaN
01-Jan-1958,2.64690617838372,1.83042822954942,NaN
01-Apr-1958,1.72060092729241,1.78927935739686,NaN
01-Jul-1958,1.32728772645023,1.77178125561446,NaN
01-Oct-1958,1.27572716748614,1.75994284078094,NaN
01-Jan-1959,1.77922823983891,1.77786991949119,NaN
01-Apr-1959,1.75046306241042,1.76008898119299,NaN
01-Jul-1959,1.8561426998373,1.76136989792766,NaN
01-Oct-1959,1.72946006663476,1.74838747169607,NaN
01-Jan-1960,1.41521160500881,1.71690728728284,NaN
01-Apr-1960,1.56048237745985,1.73064166619197,1.42400299286571
01-Jul-1960,1.44765723756576,1.71701218782665,1.42725001600953
01-Oct-1960,1.34357281798563,1.70522082782268,1.43345366642335
01-Jan-1961,1.01918860483354,1.67883982899666,1.43321788150374
01-Apr-1961,0.82713259048281,1.66081710623974,1.43323505223792
01-Jul-1961,1.05664041074896,1.6945451560328,1.443343515777
01-Oct-1961,0.994609033315616,1.67773195202022,1.44340908576329
01-Jan-1962,1.27622989278815,1.71886457031457,1.45341832623182
01-Apr-1962,1.26942943509609,1.720845859802,1.45652915876346
01-Jul-1962,1.19105819558524,1.72400780396222,1.4593417399318
01-Oct-1962,1.19517398023763,1.75028556409795,1.46467642941423
01-Jan-1963,1.17383795825763,1.76897562077517,1.46862742162581
01-Apr-1963,1.14289400523688,1.77500139694146,1.47097685222449
01-Jul-1963,1.48016677157801,1.84480737721953,1.48164774744782
01-Oct-1963,1.47309417610128,1.86425867877383,1.48461601651536
01-Jan-1964,1.52015306015405,1.90539395025298,1.49144077097334
01-Apr-1964,1.24967182649263,1.90270136097229,1.49165899069283
01-Jul-1964,1.33039426555366,1.95349034199964,1.49898313918685
01-Oct-1964,1.36937152704696,1.99608746407417,1.50395765429001
01-Jan-1965,1.45702386667766,2.04143654051992,1.50942650003564
01-Apr-1965,1.7361394013614,2.12281006524976,1.5185417404008
01-Jul-1965,1.66676411820335,2.16497146042395,1.521090214917
01-Oct-1965,1.76651440815648,2.21414055699529,1.52520864897704
01-Jan-1966,2.61666612710121,2.32639113800326,1.54013943610293
01-Apr-1966,2.90727505875522,2.39709819835312,1.54532780853473
01-Jul-1966,2.87748675226486,2.44715776755946,1.54992939507424
01-Oct-1966,2.74589568264885,2.50287886099989,1.55604475836446
01-Jan-1967,2.00579091553374,2.51240854229113,1.55137656483716
