date,value
2019-07-01,103.67
2019-10-01,104.076
2020-01-01,104.436
2020-04-01,104.004
2020-07-01,104.818
2020-10-01,105.346
2021-01-01,106.535
2021-04-01,108.148
2021-07-01,109.62
2021-10-01,111.455
2022-01-01,113.563
2022-04-01,115.647
2022-07-01,116.98
2022-10-01,118.172
2023-01-01,119.304
2023-04-01,120.184
2023-07-01,120.993
2023-10-01,121.539
2024-01-01,122.614
2024-04-01,123.401
2024-07-01,123.921
2024-10-01,124.695
2025-01-01,125.751
2025-04-01,126.416
2025-07-01,127.284
2025-10-01,128.191
2026-01-01,129.646
2026-04-01,131.316
