date,ucsv_sw07,ar_trend_bound,biuc_lrexp,uc_ma
01-Apr-1947,3.38137812390395,NaN,NaN,2.02725249200732
01-Jul-1947,5.84521080600601,1.78615533652285,NaN,2.04417007985926
01-Oct-1947,7.12234951652267,1.79304683874527,NaN,2.04099459389773
01-Jan-1948,4.36667287047292,1.78598706807291,NaN,2.01708127455325
01-Apr-1948,3.86338535274707,1.77572467543238,NaN,1.99458113184015
01-Jul-1948,4.23268400650071,1.77538161880697,NaN,1.96995089491855
01-Oct-1948,0.143377573469594,1.7601245635718,NaN,1.90298149976535
01-Jan-1949,-1.33981931492084,1.75823107623287,NaN,1.85071752776821
01-Apr-1949,-1.17567385833909,1.75482888249231,NaN,1.83628923320369
01-Jul-1949,-0.971242395904383,1.75645892903453,NaN,1.83724090068537
01-Oct-1949,0.137451480607059,1.76242413822991,NaN,1.84671817203805
01-Jan-1950,0.454772775329064,1.76709420149784,NaN,1.86413724504865
01-Apr-1950,2.32588828740327,1.77167991188798,NaN,1.87922056633381
01-Jul-1950,5.89985658428816,1.78299562470506,NaN,1.92044424783258
01-Oct-1950,5.96340880975513,1.78161207506702,NaN,1.92907216084857
01-Jan-1951,8.09334697625774,1.78445170875189,NaN,1.93286581828859
01-Apr-1951,3.5741930396596,1.76785544872793,NaN,1.8882928160244
01-Jul-1951,1.94051359398231,1.75844997460518,NaN,1.83963067916481
01-Oct-1951,3.57735659643504,1.76037167623826,NaN,1.80968028317325
01-Jan-1952,1.93578448826403,1.74337601804415,NaN,1.74335776584103
01-Apr-1952,1.01569745671181,1.73087729125082,NaN,1.6782508835599
01-Jul-1952,1.87286004456557,1.7308447544368,NaN,1.64666397601731
01-Oct-1952,1.19053714447037,1.72226649309594,NaN,1.58340190191949
01-Jan-1953,1.36655707029314,1.71591507523129,NaN,1.55012411966211
01-Apr-1953,1.11689769574414,1.7045866384478,NaN,1.49369408338007
01-Jul-1953,1.64128336034814,1.70522186108533,NaN,1.47066822925652
01-Oct-1953,1.4966499652007,1.70204686860956,NaN,1.41281041219961
01-Jan-1954,1.27111831830608,1.7004165049458,NaN,1.38866784879284
01-Apr-1954,0.143450389904485,1.68007462865725,NaN,1.31274176100649
01-Jul-1954,-0.276614571965371,1.6773871717666,NaN,1.2856758544221
01-Oct-1954,0.124915863044474,1.68873758092653,NaN,1.31209473926473
01-Jan-1955,0.824794935459745,1.71140873653925,NaN,1.39111240598976
01-Apr-1955,0.845758842101109,1.71459076620086,NaN,1.43538751067112
01-Jul-1955,1.30414148217758,1.73457620969613,NaN,1.53349687393422
01-Oct-1955,1.43717425917431,1.74837755828666,NaN,1.6053808512535
01-Jan-1956,1.85556770202579,1.77133605437928,NaN,1.71644709488182
01-Apr-1956,2.43949114719802,1.80082782593538,NaN,1.83645516169402
01-Jul-1956,2.89289642998152,1.82738901775723,NaN,1.94315097991046
01-Oct-1956,2.69431079844827,1.82123182083801,NaN,1.95562370859105
01-Jan-1957,2.88391460622797,1.84275814070861,NaN,2.00815779769148
01-Apr-1957,2.69880027093607,1.83233853721771,NaN,1.98679287788178
01-Jul-1957,2.71052782729087,1.83213132334061,NaN,1.99213943327461
01-Oct-1957,2.48409814854247,1.82330371674704,NaN,1.9454252945318
01-Jan-1958,2.64690617838372,1.83042822954942,NaN,1.93848838946751
01-Apr-1958,1.72060092729241,1.78927935739686,NaN,1.81521489907186
01-Jul-1958,1.32728772645023,1.77178125561446,NaN,1.749261516233
